gamma,t,rho,PSNR,objective,iterations,converged
0.001,0.25,0.5,19.140358168373574,987.5313165812097,300,False
0.001,0.25,1.0,14.946693912626664,958.8746318216092,300,False
0.001,0.25,1.5,12.8270590021324,946.6134757854379,300,False
0.001,0.5,0.5,16.09385480223968,954.1145328313219,300,False
0.001,0.5,1.0,12.728654606214578,928.3415019521207,300,False
0.001,0.5,1.5,11.367420092906775,916.2671010109551,300,False
0.001,1.0,0.5,15.188984270958855,937.6653950909736,300,False
0.001,1.0,1.0,12.59976443198177,915.1286853420761,300,False
0.001,1.0,1.5,11.461931139989304,905.1722667352777,300,False
0.001,1.5,0.5,15.61725132734571,934.2665156313542,300,False
0.001,1.5,1.0,13.193636728357873,913.886965304576,300,False
0.001,1.5,1.5,12.023018852256818,904.5662112790874,300,False
0.001,2.0,0.5,16.203989655723735,934.1688834509531,300,False
0.001,2.0,1.0,13.849843614238992,914.4555097487273,300,False
0.001,2.0,1.5,12.62656323518547,905.5957783217715,300,False
0.005,0.25,0.5,21.524758792652626,999.2977410276752,300,False
0.005,0.25,1.0,19.316454303252886,981.7310654302224,300,False
0.005,0.25,1.5,18.32117961031569,974.3718479853277,300,False
0.005,0.5,0.5,19.745833026849585,979.8661879118642,300,False
0.005,0.5,1.0,18.151947791352075,967.4886697121988,300,False
0.005,0.5,1.5,17.675073380340958,961.956895568685,300,False
0.005,1.0,0.5,19.07543651858681,968.456591834497,300,False
0.005,1.0,1.0,18.04497977231521,959.7919311734912,300,False
0.005,1.0,1.5,17.715964328157607,956.5827335499773,300,False
0.005,1.5,0.5,19.164681494730164,964.9692727174156,300,False
0.005,1.5,1.0,18.277690492026228,957.7009974455096,300,False
0.005,1.5,1.5,17.888912606259577,955.2040445867291,300,False
0.005,2.0,0.5,19.39734679641972,963.6311811047894,300,False
0.005,2.0,1.0,18.524678334408396,957.0643089383326,300,False
0.005,2.0,1.5,18.108103460483257,954.7392283543431,300,False
0.01,0.25,0.5,22.981640842860557,1011.2361224550328,300,False
0.01,0.25,1.0,22.06381557018466,997.4479553232554,300,False
0.01,0.25,1.5,21.790013958905945,991.5892961539175,300,False
0.01,0.5,0.5,22.178996936942386,996.9635972554163,300,False
0.01,0.5,1.0,21.714868927725476,987.7876094862439,300,False
0.01,0.5,1.5,21.618820443706422,984.2914281675353,300,False
0.01,1.0,0.5,21.936381505401947,988.2096099830833,300,False
0.01,1.0,1.0,21.67736324817593,982.8109070227985,300,False
0.01,1.0,1.5,21.68924365860809,980.8164928341098,300,False
0.01,1.5,0.5,21.930655619642213,985.432849612833,300,False
0.01,1.5,1.0,21.745596021474476,981.230692789381,300,False
0.01,1.5,1.5,21.72592199500635,979.8534821785454,300,False
0.01,2.0,0.5,21.98427846519231,984.1737203568398,300,False
0.01,2.0,1.0,21.82076145171671,980.4563549655247,300,False
0.01,2.0,1.5,21.764739035495175,979.3707771397196,300,False
0.05,0.25,0.5,24.46564745137051,1089.3804759872196,300,False
0.05,0.25,1.0,24.379551684107117,1081.28768314115,300,False
0.05,0.25,1.5,24.350204320591192,1078.09057483949,300,False
0.05,0.5,0.5,24.390535942419987,1080.8991194402965,300,False
0.05,0.5,1.0,24.353140595004508,1075.9550862175306,300,False
0.05,0.5,1.5,24.345220091510285,1074.1809882337889,300,False
0.05,1.0,0.5,24.363172114703936,1075.991407461639,300,False
0.05,1.0,1.0,24.34811192972206,1073.2430496398265,300,False
0.05,1.0,1.5,24.343569345953693,1072.3402989252215,300,False
0.05,1.5,0.5,24.371141729539033,1074.272607480805,300,False
0.05,1.5,1.0,24.34743750957946,1072.3914691458567,300,False
0.05,1.5,1.5,24.347306665414678,1071.8865750218029,269,True
0.05,2.0,0.5,24.374355462624887,1073.423670649498,300,False
0.05,2.0,1.0,24.35605127583318,1072.163534558885,264,True
0.05,2.0,1.5,24.352213884062035,1071.766914650862,229,True
0.1,0.25,0.5,24.48362142368998,1169.0185925178664,300,False
0.1,0.25,1.0,24.457484057778732,1161.3692247531205,300,False
0.1,0.25,1.5,24.438707204232312,1158.801508773864,300,False
0.1,0.5,0.5,24.461606059021396,1160.9506304254573,300,False
0.1,0.5,1.0,24.4350338177842,1156.8261328612477,300,False
0.1,0.5,1.5,24.434494643561187,1155.40244272859,300,False
0.1,1.0,0.5,24.43518624371134,1156.8216546396418,300,False
0.1,1.0,1.0,24.430362032346345,1154.5675763820977,300,False
0.1,1.0,1.5,24.42639441377377,1153.8306120871134,300,False
0.1,1.5,0.5,24.433070830064025,1155.4302622094974,300,False
0.1,1.5,1.0,24.42696605557827,1154.0041240496762,273,True
0.1,1.5,1.5,24.424292247430724,1153.546734785731,249,True
0.1,2.0,0.5,24.433022647429002,1154.77046883833,292,True
0.1,2.0,1.0,24.428067500622497,1153.836719265459,235,True
0.1,2.0,1.5,24.424229921460388,1153.4769050148645,206,True
