size_label,n_pixels,height,width,noise_type,noise_level,problem,optimal_gamma,best_psnr,n_evals,time_sec
250px,83250,333,250,gaussian,0.01,l2,0.000169,20.8418,13,105.5
250px,83250,333,250,gaussian,0.05,l2,0.008743,19.8905,13,58.7
250px,83250,333,250,gaussian,0.1,l2,0.029125,19.3897,13,32.9
250px,83250,333,250,gaussian,0.2,l2,0.092312,18.7719,13,35.0
250px,83250,333,250,gaussian,0.4,l2,0.197925,17.7094,13,38.4
250px,83250,333,250,gaussian,0.01,l1,0.011564,20.7544,13,118.1
250px,83250,333,250,gaussian,0.05,l1,0.113976,19.7133,13,119.3
250px,83250,333,250,gaussian,0.1,l1,0.179174,19.1671,13,118.9
250px,83250,333,250,gaussian,0.2,l1,0.292583,18.5347,13,115.0
250px,83250,333,250,gaussian,0.4,l1,0.424367,17.8304,13,115.1
250px,83250,333,250,saltpepper,0.01,l2,0.012533,19.7665,13,49.8
250px,83250,333,250,saltpepper,0.05,l2,0.043055,19.1148,13,32.6
250px,83250,333,250,saltpepper,0.1,l2,0.077102,18.7548,13,32.2
250px,83250,333,250,saltpepper,0.2,l2,0.129836,18.082,13,36.1
250px,83250,333,250,saltpepper,0.4,l2,0.197925,16.8263,13,37.5
250px,83250,333,250,saltpepper,0.01,l1,0.005292,21.131,13,118.7
250px,83250,333,250,saltpepper,0.05,l1,0.008743,20.968,13,119.0
250px,83250,333,250,saltpepper,0.1,l1,0.012297,20.8484,13,119.4
250px,83250,333,250,saltpepper,0.2,l1,0.017628,20.6913,13,119.4
250px,83250,333,250,saltpepper,0.4,l1,0.030611,20.4175,13,119.5
500px,333500,667,500,gaussian,0.01,l2,0.000294,22.4035,13,465.0
500px,333500,667,500,gaussian,0.05,l2,0.00996,21.3533,13,318.5
500px,333500,667,500,gaussian,0.1,l2,0.034215,20.7138,13,184.0
500px,333500,667,500,gaussian,0.2,l2,0.097023,19.9398,13,203.4
500px,333500,667,500,gaussian,0.4,l2,0.204107,18.5032,13,219.8
500px,333500,667,500,gaussian,0.01,l1,0.013584,22.3947,13,691.6
500px,333500,667,500,gaussian,0.05,l1,0.127391,21.132,13,691.0
500px,333500,667,500,gaussian,0.1,l1,0.208024,20.4563,13,691.6
500px,333500,667,500,gaussian,0.2,l1,0.317117,19.676,13,690.7
500px,333500,667,500,gaussian,0.4,l1,0.424367,18.7862,13,666.4
500px,333500,667,500,saltpepper,0.01,l2,0.014723,21.2202,13,269.3
500px,333500,667,500,saltpepper,0.05,l2,0.049046,20.4471,13,185.9
500px,333500,667,500,saltpepper,0.1,l2,0.081036,19.9293,13,183.5
500px,333500,667,500,saltpepper,0.2,l2,0.127391,19.0788,13,206.9
500px,333500,667,500,saltpepper,0.4,l2,0.208024,17.4052,13,221.5
500px,333500,667,500,saltpepper,0.01,l1,0.005845,22.8448,13,689.7
500px,333500,667,500,saltpepper,0.05,l1,0.009366,22.6841,13,689.7
500px,333500,667,500,saltpepper,0.1,l1,0.013173,22.5414,13,690.6
500px,333500,667,500,saltpepper,0.2,l1,0.019106,22.3711,13,689.3
500px,333500,667,500,saltpepper,0.4,l1,0.037084,21.9823,13,691.7
960px,1228800,1280,960,gaussian,0.01,l2,0.0006,25.8685,13,1154.5
960px,1228800,1280,960,gaussian,0.05,l2,0.011564,24.2517,13,923.7
960px,1228800,1280,960,gaussian,0.1,l2,0.038976,23.3233,13,562.0
