KernelSize,Sigma,SP_Noise,Gamma,Step_s,Step_t,Final_Objective,MSE,PSNR
5,1,0.01,0.005,0.05,0.05,89.0521,0.00512423,22.9037
5,1,0.01,0.005,0.05,0.3,87.7033,0.00558453,22.5301
5,1,0.01,0.005,0.05,0.9,87.6307,0.00574646,22.406
5,1,0.01,0.005,0.3,0.05,88.9127,0.00511386,22.9125
5,1,0.01,0.005,0.3,0.3,87.6728,0.00557486,22.5377
5,1,0.01,0.005,0.3,0.9,NaN,NaN,NaN
5,1,0.01,0.005,0.9,0.05,88.9035,0.00511129,22.9147
5,1,0.01,0.005,0.9,0.3,NaN,NaN,NaN
5,1,0.01,0.005,0.9,0.9,NaN,NaN,NaN
5,1,0.01,0.05,0.05,0.05,178.762,0.00337501,24.7172
5,1,0.01,0.05,0.05,0.3,169.204,0.00330936,24.8026
5,1,0.01,0.05,0.05,0.9,168.175,0.00330784,24.8046
5,1,0.01,0.05,0.3,0.05,169.145,0.00341821,24.662
5,1,0.01,0.05,0.3,0.3,167.444,0.003313,24.7978
5,1,0.01,0.05,0.3,0.9,NaN,NaN,NaN
5,1,0.01,0.05,0.9,0.05,168.647,0.00342148,24.6579
5,1,0.01,0.05,0.9,0.3,NaN,NaN,NaN
5,1,0.01,0.05,0.9,0.9,NaN,NaN,NaN
5,1,0.01,0.5,0.05,0.05,1095.07,0.00932031,20.3057
5,1,0.01,0.5,0.05,0.3,580.805,0.0087865,20.5618
5,1,0.01,0.5,0.05,0.9,566.19,0.00874613,20.5818
5,1,0.01,0.5,0.3,0.05,536.397,0.00890766,20.5024
5,1,0.01,0.5,0.3,0.3,507.49,0.00882564,20.5425
5,1,0.01,0.5,0.3,0.9,NaN,NaN,NaN
5,1,0.01,0.5,0.9,0.05,495.674,0.00871642,20.5966
5,1,0.01,0.5,0.9,0.3,NaN,NaN,NaN
5,1,0.01,0.5,0.9,0.9,NaN,NaN,NaN
5,1,0.05,0.005,0.05,0.05,403.263,0.018773,17.2647
5,1,0.05,0.005,0.05,0.3,396.893,0.0232662,16.3327
5,1,0.05,0.005,0.05,0.9,396.464,0.0250042,16.0199
5,1,0.05,0.005,0.3,0.05,402.852,0.018852,17.2464
5,1,0.05,0.005,0.3,0.3,396.815,0.0233143,16.3238
5,1,0.05,0.005,0.3,0.9,NaN,NaN,NaN
5,1,0.05,0.005,0.9,0.05,402.821,0.0188558,17.2456
5,1,0.05,0.005,0.9,0.3,NaN,NaN,NaN
5,1,0.05,0.005,0.9,0.9,NaN,NaN,NaN
5,1,0.05,0.05,0.05,0.05,569.298,0.0046747,23.3025
5,1,0.05,0.05,0.05,0.3,552.215,0.00442753,23.5384
5,1,0.05,0.05,0.05,0.9,550.358,0.00442419,23.5417
5,1,0.05,0.05,0.3,0.05,554.355,0.00486382,23.1302
5,1,0.05,0.05,0.3,0.3,549.485,0.00441956,23.5462
5,1,0.05,0.05,0.3,0.9,NaN,NaN,NaN
5,1,0.05,0.05,0.9,0.05,553.631,0.00489756,23.1002
5,1,0.05,0.05,0.9,0.3,NaN,NaN,NaN
5,1,0.05,0.05,0.9,0.9,NaN,NaN,NaN
5,1,0.05,0.5,0.05,0.05,2419.92,0.0107474,19.687
5,1,0.05,0.5,0.05,0.3,991.98,0.00938214,20.277
5,1,0.05,0.5,0.05,0.9,955.533,0.00938212,20.277
5,1,0.05,0.5,0.3,0.05,946.953,0.00962643,20.1653
5,1,0.05,0.5,0.3,0.3,886.918,0.00954106,20.204
5,1,0.05,0.5,0.3,0.9,NaN,NaN,NaN
5,1,0.05,0.5,0.9,0.05,875.61,0.00946053,20.2408
5,1,0.05,0.5,0.9,0.3,NaN,NaN,NaN
5,1,0.05,0.5,0.9,0.9,NaN,NaN,NaN
5,1,0.15,0.005,0.05,0.05,1128.89,0.0513951,12.8908
5,1,0.15,0.005,0.05,0.3,1104.54,0.0677022,11.694
5,1,0.15,0.005,0.05,0.9,1102.77,0.0747036,11.2666
5,1,0.15,0.005,0.3,0.05,1127.47,0.0517634,12.8598
5,1,0.15,0.005,0.3,0.3,1104.3,0.0681506,11.6653
5,1,0.15,0.005,0.3,0.9,NaN,NaN,NaN
5,1,0.15,0.005,0.9,0.05,1127.34,0.0517967,12.857
5,1,0.15,0.005,0.9,0.3,NaN,NaN,NaN
5,1,0.15,0.005,0.9,0.9,NaN,NaN,NaN
5,1,0.15,0.05,0.05,0.05,1452.91,0.0101269,19.9452
5,1,0.15,0.05,0.05,0.3,1431.12,0.00909158,20.4136
5,1,0.15,0.05,0.05,0.9,1429.42,0.00908828,20.4152
5,1,0.15,0.05,0.3,0.05,1438.2,0.01082,19.6577
5,1,0.15,0.05,0.3,0.3,1428.73,0.00907577,20.4212
5,1,0.15,0.05,0.3,0.9,NaN,NaN,NaN
5,1,0.15,0.05,0.9,0.05,1437.73,0.0109322,19.6129
